DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
04/19/2016,15:18,MANHATTAN,10003,40.7324473,-73.991279,"(40.732447, -73.991279)",BROADWAY,EAST 11 STREET,,2,1,0,1,0,0,2,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3406052,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/19/2016,8:27,MANHATTAN,10014,40.7338473,-74.0062856,"(40.733847, -74.006286)",,,519 HUDSON STREET,2,0,2,0,0,0,0,0,Traffic Control Disregarded,Traffic Control Disregarded,,,,3406053,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/20/2016,7:30,MANHATTAN,10011,40.7341384,-73.9991845,"(40.734138, -73.999184)",AVENUE OF THE AMERICAS,WEST 9 STREET,,0,0,0,0,0,0,0,0,Lost Consciousness,Lost Consciousness,,,,3406054,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/20/2016,12:20,MANHATTAN,10014,40.7294941,-74.0069744,"(40.729494, -74.006974)",CLARKSON STREET,HUDSON STREET,,0,0,0,0,0,0,0,0,Animals Action,Animals Action,,,,3406056,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/20/2016,10:08,MANHATTAN,10011,40.732928,-74.0000649,"(40.732928, -74.000065)",AVENUE OF THE AMERICAS,WAVERLY PLACE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,3406057,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/18/2016,11:19,MANHATTAN,10002,40.7203071,-73.9891124,"(40.720307, -73.989112)",RIVINGTON STREET,ORCHARD STREET,,0,0,0,0,0,0,0,0,Physical Disability,Physical Disability,,,,3406118,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/19/2016,21:00,,,,,,WILLIAMSBURG BRIDGE,EAST RIVER,,3,0,0,0,0,0,3,0,Outside Car Distraction,Outside Car Distraction,Outside Car Distraction,,,3406119,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
03/21/2016,11:45,MANHATTAN,10002,40.7190253,-73.9897692,"(40.719025, -73.989769)",DELANCEY STREET,ORCHARD STREET,,0,2,0,0,0,0,0,2,Unsafe Speed,Unsafe Speed,,,,3406120,PASSENGER VEHICLE,OTHER,,,
03/21/2016,6:45,,,,,,WILLIAMSBURG BRIDGE,BORO LINE,,0,0,0,0,0,0,0,0,Pavement Slippery,Pavement Slippery,,,,3406121,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/22/2016,13:26,MANHATTAN,10002,40.7200764,-73.9883549,"(40.720076, -73.988355)",LUDLOW STREET,RIVINGTON STREET,,0,0,0,0,0,0,0,0,,,,,,3406122,OTHER,PASSENGER VEHICLE,,,
03/22/2016,16:00,,,40.710977,-73.9796117,"(40.710977, -73.979612)",,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Driver Inattention/Distraction,,,3406123,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
03/22/2016,16:15,MANHATTAN,10002,40.7131792,-73.9925007,"(40.713179, -73.992501)",HENRY STREET,PIKE STREET,,0,0,0,0,0,0,0,0,,,,,,3406124,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/23/2016,7:50,MANHATTAN,10002,40.7204773,-73.9897185,"(40.720477, -73.989718)",ALLEN STREET,RIVINGTON STREET,,0,4,0,1,0,1,0,2,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3406125,PASSENGER VEHICLE,BICYCLE,,,
03/23/2016,8:00,MANHATTAN,10002,40.7190253,-73.9897692,"(40.719025, -73.989769)",DELANCEY STREET,ORCHARD STREET,,0,4,0,3,0,0,0,0,,,,,,3406126,SMALL COM VEH(4 TIRES),,,,